the_index,Title,DomesticTotalGross,RunTime,ReleaseDate,Director,ProductionBudget,InRelease,MpaaRating,Distributor,Genre,Nominations,Wins,IntDayOfTheYear,IntMonthOfTheYear,DayOfTheYear^2,OpeningGross,OpeningRank,OpeningRatio,GenreMap_Comedy
http://www.boxofficemojo.com/movies/?id=grinch.htm,How the Grinch Stole Christmas,260044825.0,104.0,2000-11-17,Ron Howard,123000000.0,105,PG,Universal,Family Comedy,3,1,322,11,103684,55082330.0,1.0,21.18185970437981,1
http://www.boxofficemojo.com/movies/?id=haunting.htm,The Haunting,91411151.0,113.0,1999-07-23,Jan DeBont,80000000.0,112,PG-13,DreamWorks,Horror,0,0,204,7,41616,33435140.0,1.0,36.57665354197323,0
http://www.boxofficemojo.com/movies/?id=headoverheels.htm,Head Over Heels,10424470.0,87.0,2001-02-02,Mark S. Waters,14000000.0,35,PG-13,Universal,Romantic Comedy,0,0,33,2,1089,4804595.0,7.0,46.08958536980777,0
http://www.boxofficemojo.com/movies/?id=heartsinatlantis.htm,Hearts in Atlantis,24185781.0,101.0,2001-09-28,Scott Hicks,31000000.0,66,PG-13,Warner Bros.,Drama,0,0,271,9,73441,9021494.0,3.0,37.30081736868452,0
http://www.boxofficemojo.com/movies/?id=hollowman.htm,Hollow Man,73209340.0,113.0,2000-08-04,Paul Verhoeven,95000000.0,108,R,Sony / Columbia,Sci-Fi Horror,1,0,217,8,47089,26414386.0,1.0,36.08062304618509,0
http://www.boxofficemojo.com/movies/?id=irongiant.htm,The Iron Giant,23159305.0,86.0,1999-08-03,Brad Bird,70000000.0,111,PG,Warner Bros.,Animation,0,0,215,8,46225,5732614.0,9.0,24.752962146316566,0
http://www.boxofficemojo.com/movies/?id=jurassicpark3.htm,Jurassic Park III,181171875.0,92.0,2001-07-18,Joe Johnston,93000000.0,156,PG-13,Universal,Sci-Fi Horror,0,0,199,7,39601,50771645.0,1.0,28.024021388529537,0
http://www.boxofficemojo.com/movies/?id=k-pax.htm,K-PAX,50338485.0,121.0,2001-10-26,Iain Softley,68000000.0,70,PG-13,Universal,Drama,0,0,299,10,89401,17215275.0,1.0,34.19903280760237,0
http://www.boxofficemojo.com/movies/?id=lastcastle.htm,The Last Castle,18244060.0,133.0,2001-10-19,Rod Lurie,72000000.0,63,R,DreamWorks,Action Drama,0,0,292,10,85264,7088213.0,5.0,38.85216887030628,0
http://www.boxofficemojo.com/movies/?id=legendofbaggervance.htm,The Legend of Bagger Vance,30919168.0,127.0,2000-11-03,Robert Redford,80000000.0,91,PG-13,DreamWorks,Sports Drama,0,0,308,11,94864,11516712.0,3.0,37.24780692675819,0
http://www.boxofficemojo.com/movies/?id=majestic.htm,The Majestic,27807266.0,152.0,2001-12-21,Frank Darabont,72000000.0,84,PG,Warner Bros.,Period Drama,0,0,355,12,126025,4904339.0,8.0,17.63689749290707,0
http://www.boxofficemojo.com/movies/?id=meettheparents.htm,Meet the Parents,166244045.0,108.0,2000-10-06,Jay Roach,55000000.0,175,PG-13,Universal,Comedy,1,0,280,10,78400,28623300.0,1.0,17.21763928446279,1
http://www.boxofficemojo.com/movies/?id=mexican.htm,The Mexican,66845033.0,123.0,2001-03-02,Gore Verbinski,57000000.0,91,R,DreamWorks,Crime Comedy,0,0,61,3,3721,20108829.0,1.0,30.08275723343573,1
